category,indicator,indicator_friendly,type_data,latitude,longitude,region_id,country_id,name,year,value
Population,urban_population_cities,Urban population – Cities,1000,48.479972,35.000024,89,UA,Dnipropetrovsk,2000,1077
Population,urban_population_cities,Urban population – Cities,1000,48.479972,35.000024,89,UA,Dnipropetrovsk,2010,1003
Population,urban_population_cities,Urban population – Cities,1000,48.479972,35.000024,89,UA,Dnipropetrovsk,2020,913
City prosperity,cpi_productivity_index,Productivity index,p,50.433367,30.516628,89,UA,Kiev,2012,0.579
Population,number_of_cities_1_5_million,Number of cities by country – 1 to 5 million inhabitants,n,49,32,89,UA,Ukraine,1985,5
Population,number_of_cities_1_5_million,Number of cities by country – 1 to 5 million inhabitants,n,49,32,89,UA,Ukraine,2020,3
Population,number_of_cities_1_5_million,Number of cities by country – 1 to 5 million inhabitants,n,49,32,89,UA,Ukraine,1990,5
Population,number_of_cities_1_5_million,Number of cities by country – 1 to 5 million inhabitants,n,49,32,89,UA,Ukraine,1960,1
Population,number_of_cities_1_5_million,Number of cities by country – 1 to 5 million inhabitants,n,49,32,89,UA,Ukraine,2025,3
Population,number_of_cities_1_5_million,Number of cities by country – 1 to 5 million inhabitants,n,49,32,89,UA,Ukraine,1995,5
Population,number_of_cities_1_5_million,Number of cities by country – 1 to 5 million inhabitants,n,49,32,89,UA,Ukraine,1965,2
Population,number_of_cities_1_5_million,Number of cities by country – 1 to 5 million inhabitants,n,49,32,89,UA,Ukraine,2000,5
Population,number_of_cities_1_5_million,Number of cities by country – 1 to 5 million inhabitants,n,49,32,89,UA,Ukraine,1970,2
Population,number_of_cities_1_5_million,Number of cities by country – 1 to 5 million inhabitants,n,49,32,89,UA,Ukraine,2005,4
Population,number_of_cities_1_5_million,Number of cities by country – 1 to 5 million inhabitants,n,49,32,89,UA,Ukraine,1975,2
Population,number_of_cities_1_5_million,Number of cities by country – 1 to 5 million inhabitants,n,49,32,89,UA,Ukraine,2010,3
Population,number_of_cities_1_5_million,Number of cities by country – 1 to 5 million inhabitants,n,49,32,89,UA,Ukraine,1980,5
Population,number_of_cities_1_5_million,Number of cities by country – 1 to 5 million inhabitants,n,49,32,89,UA,Ukraine,2015,3
Resilience,loss_of_lives_in_floods_per_million_population,Number of loss of lives in floods per million population,n,49,32,89,UA,Ukraine,1980,0.06
Population,percentage_of_international_migrants,Percentage of international migrants,p,49,32,89,UA,Ukraine,2000,14.1
Population,percentage_of_international_migrants,Percentage of international migrants,p,49,32,89,UA,Ukraine,1995,13.7
Population,percentage_of_international_migrants,Percentage of international migrants,p,49,32,89,UA,Ukraine,2005,14.7
City prosperity,cpi_quality_of_live_index,Quality of life index,p,50.433367,30.516628,89,UA,Kiev,2012,0.757
Health,hiv_prevalence_15_to_49_year,HIV prevalence among population 15-49 year,p,49,32,89,UA,Ukraine,2001,1.2
Health,hiv_prevalence_15_to_49_year,HIV prevalence among population 15-49 year,p,49,32,89,UA,Ukraine,2003,1.4
Population,infant_mortality_rate,Infant Mortality rate (Deaths per 1000 live births),n,49,32,89,UA,Ukraine,1990,21.5
Population,infant_mortality_rate,Infant Mortality rate (Deaths per 1000 live births),n,49,32,89,UA,Ukraine,1995,19.8
Population,infant_mortality_rate,Infant Mortality rate (Deaths per 1000 live births),n,49,32,89,UA,Ukraine,2000,19.2
Population,infant_mortality_rate,Infant Mortality rate (Deaths per 1000 live births),n,49,32,89,UA,Ukraine,1970,30
Population,infant_mortality_rate,Infant Mortality rate (Deaths per 1000 live births),n,49,32,89,UA,Ukraine,2005,19.7
Population,infant_mortality_rate,Infant Mortality rate (Deaths per 1000 live births),n,49,32,89,UA,Ukraine,2007,19.7
Population,infant_mortality_rate,Infant Mortality rate (Deaths per 1000 live births),n,49,32,89,UA,Ukraine,1980,25.4
Slum dwellers,durable_housing_urban_population_countries,Proportion of urban population with durable housing – Countries,p,49,32,89,UA,Ukraine,2007,71.6
Streets,total_road_network,Total road network (in km),n,49,32,89,UA,Ukraine,2000,169323
Resilience,refugees_by_country_of_origin,Number of refugees by country of origin,n,49,32,89,UA,Ukraine,2005,84213
